W1,L1,W3,L3,W5,L5,W6,L6,W7,L7,IB,CC,total_area,slew_rate,total_power
6.431u,336.640n,17.697u,332.769n,5.741u,305.932n,305.885u,195.723n,120.762u,378.891n,21.912u,2.267p,1.15434665242e-10,9665637.40626,0.00085853226119
5.155u,269.970n,8.498u,240.642n,14.351u,506.333n,64.055u,354.633n,19.656u,271.343n,22.200u,2.874p,3.8752590772e-11,7724425.88727,0.000220406385458
22.994u,228.054n,6.445u,361.906n,19.161u,190.297n,337.675u,429.504n,19.556u,464.163n,14.969u,1.496p,1.65332573491e-10,10006016.0428,7.18924017718e-05
2.481u,382.559n,6.442u,469.624n,3.425u,500.758n,306.770u,224.701n,134.846u,243.283n,12.651u,1.534p,1.07426808025e-10,8247066.49283,0.00163108457632
21.359u,364.427n,25.959u,304.182n,17.145u,259.753n,353.449u,390.072n,31.243u,473.426n,20.753u,1.855p,1.72795328862e-10,11187601.0782,0.000140637677863
18.121u,512.231n,5.238u,500.621n,11.198u,466.405n,70.752u,225.622n,112.177u,269.587n,18.221u,2.635p,None,None,None
20.542u,485.991n,21.551u,180.636n,14.734u,476.793n,332.865u,281.494n,36.705u,430.186n,14.619u,0.593p,1.3039065906e-10,24652613.828,0.00018412531135
21.012u,475.545n,6.112u,330.962n,22.945u,217.462n,146.823u,420.801n,79.505u,448.861n,11.022u,1.981p,None,None,None
4.040u,235.822n,16.377u,458.833n,12.250u,491.401n,40.502u,349.937n,25.214u,330.942n,11.081u,2.283p,3.7004211133e-11,4853701.27026,8.0263446985e-05
4.666u,455.442n,15.984u,246.232n,23.016u,194.038n,317.152u,216.383n,94.973u,420.896n,16.562u,2.837p,None,None,None
3.129u,499.800n,27.498u,241.303n,23.399u,452.753n,257.800u,514.264n,54.548u,349.052n,15.434u,1.767p,1.70410539237e-10,8734578.38144,0.000140333175487
2.374u,486.612n,12.484u,454.035n,6.767u,289.059n,204.742u,246.513n,111.721u,327.785n,13.069u,0.701p,9.5871484712e-11,18643366.6191,0.000558355481978
5.869u,280.877n,15.160u,514.020n,4.431u,461.679n,234.059u,325.735n,58.909u,396.216n,17.845u,0.736p,1.11068606671e-10,24245923.913,0.000579457978352
7.444u,477.209n,18.078u,227.736n,23.255u,500.414n,75.901u,337.201n,15.431u,388.803n,26.892u,2.214p,5.0899994968e-11,12146341.4634,0.000171002974836
3.081u,378.117n,6.936u,299.811n,7.358u,210.616n,219.560u,233.664n,53.353u,331.686n,20.905u,1.209p,7.3793891099e-11,17291149.7105,0.000391734573087
7.695u,437.465n,13.219u,486.062n,14.721u,354.519n,235.764u,266.635n,77.859u,218.772n,25.625u,1.854p,9.490672424e-11,13821467.0982,0.000815692717302
15.098u,183.211n,24.119u,497.381n,3.003u,365.090n,214.962u,338.926n,145.778u,332.616n,11.434u,2.698p,1.37203123347e-10,4237954.04003,0.000186374874099
5.160u,318.825n,24.275u,406.374n,2.639u,262.238n,282.999u,439.011n,108.966u,232.138n,20.918u,2.173p,1.61736735229e-10,9626323.05568,0.000353979514206
10.433u,450.750n,5.088u,231.472n,4.882u,426.760n,153.692u,252.281n,131.563u,510.687n,23.179u,0.638p,1.13924931839e-10,36330721.0031,0.000854862927636
16.413u,233.579n,21.083u,237.238n,3.961u,272.155n,290.187u,390.397n,23.579u,450.415n,14.103u,1.306p,1.3382189636e-10,10798621.7458,0.000171469311347
17.141u,465.497n,22.048u,486.348n,15.120u,210.610n,89.020u,380.499n,149.380u,349.838n,28.440u,1.762p,None,None,None
22.447u,435.715n,20.691u,427.852n,8.902u,284.680n,96.029u,359.041n,82.079u,499.059n,19.907u,2.602p,9.6608013547e-11,7650653.34358,0.000191120741464
21.629u,379.705n,15.125u,327.157n,7.354u,328.709n,151.981u,261.129n,143.777u,204.208n,11.154u,1.455p,8.4625275221e-11,7665979.38144,0.00018118469395
8.858u,319.118n,9.955u,487.976n,10.087u,424.076n,359.381u,324.562n,55.766u,485.440n,11.750u,2.473p,1.55674666098e-10,4751314.19329,0.000228656230705
10.009u,272.848n,17.229u,477.138n,19.531u,454.997n,234.677u,281.845n,136.669u,348.431n,13.348u,0.582p,1.33600348045e-10,22934707.9038,0.000377489929658
21.667u,419.728n,10.888u,439.622n,12.928u,282.437n,339.901u,243.865n,19.746u,346.520n,11.326u,2.704p,1.07264537733e-10,4188609.46746,8.56872954925e-05
7.756u,285.588n,20.744u,304.328n,17.163u,183.165n,242.767u,342.323n,67.764u,256.637n,17.837u,0.728p,1.12167138864e-10,24501373.6264,0.000227191790983
17.638u,336.065n,25.469u,227.568n,19.078u,276.380n,51.326u,271.965n,82.588u,505.385n,12.321u,2.974p,7.2693833472e-11,4142905.17821,6.37783509366e-05
4.962u,359.361n,19.812u,383.365n,7.324u,334.828n,312.685u,514.222n,18.617u,487.952n,29.142u,2.235p,1.81704365388e-10,13038926.1745,0.00027454655623
4.522u,305.998n,22.659u,328.889n,10.280u,511.214n,177.350u,351.930n,26.104u,288.598n,25.016u,1.495p,8.4039646419e-11,16733110.3679,0.000319195901747
18.461u,183.154n,22.396u,511.807n,8.701u,261.480n,253.016u,341.658n,112.142u,304.206n,21.307u,0.581p,1.37677982826e-10,36672977.6248,0.000443535623611
4.318u,488.910n,21.583u,344.020n,18.478u,327.651n,218.685u,355.568n,130.007u,499.369n,20.742u,1.124p,1.58269285881e-10,18453736.6548,0.000333559360298
13.621u,186.346n,23.120u,443.234n,17.759u,322.700n,351.723u,320.695n,33.427u,424.838n,13.372u,1.279p,1.45513485557e-10,10455043.0023,0.000109302677767
18.895u,271.581n,21.549u,313.461n,17.831u,287.748n,340.442u,243.128n,98.591u,489.642n,13.817u,0.948p,1.4806240567e-10,14574894.5148,0.000195816544248
16.199u,203.301n,11.822u,458.409n,9.154u,370.051n,56.535u,241.579n,130.969u,507.305n,23.763u,0.636p,9.2198928261e-11,37363207.5472,0.000314929053623
12.147u,410.468n,9.347u,229.158n,22.783u,244.062n,193.678u,483.267n,55.755u,218.502n,17.998u,2.358p,1.18469124204e-10,7632739.60984,0.000224243486992
9.066u,321.104n,27.912u,473.444n,6.416u,252.089n,182.855u,227.658n,88.347u,297.606n,16.105u,1.806p,8.5664301688e-11,8917497.23145,0.000306733238527
12.414u,192.175n,12.194u,488.634n,5.197u,366.608n,232.143u,365.318n,140.670u,335.076n,18.154u,0.944p,1.42190482616e-10,19230932.2034,0.00055435987373
7.558u,274.830n,7.620u,375.290n,4.862u,475.754n,184.472u,298.065n,106.501u,379.171n,17.867u,1.741p,1.02616728239e-10,10262492.8202,0.000693522449414
14.910u,493.964n,25.919u,265.450n,9.529u,325.848n,115.804u,206.424n,33.607u,396.659n,29.292u,1.860p,5.4585451291e-11,15748387.0968,0.000306731822658
9.593u,474.419n,16.523u,469.532n,4.008u,198.863n,136.448u,246.083n,126.028u,369.260n,19.277u,0.465p,9.3220854071e-11,41455913.9785,0.000431152577106
8.274u,359.398n,9.419u,342.137n,16.627u,311.727n,140.436u,191.005n,77.530u,182.981n,24.561u,1.253p,5.2389827394e-11,19601755.7861,0.000730170524005
17.154u,444.563n,23.427u,447.692n,14.514u,461.035n,51.695u,433.188n,86.846u,354.161n,22.117u,2.460p,7.7956696042e-11,8990650.4065,0.000136230174267
11.889u,461.884n,11.617u,218.609n,10.665u,250.878n,53.486u,419.106n,110.355u,272.541n,10.322u,1.136p,6.319909907e-11,9086267.60563,6.28789666547e-05
7.117u,439.926n,6.130u,441.376n,22.974u,189.242n,79.431u,471.051n,69.198u,267.471n,27.170u,2.284p,6.6108744169e-11,11895796.8476,0.000284799472367
6.253u,296.907n,17.623u,191.346n,11.522u,458.839n,228.067u,295.683n,28.848u,483.563n,17.273u,1.573p,9.1900753172e-11,10980928.1627,0.000196949132406
3.255u,203.987n,11.619u,222.793n,15.487u,446.417n,165.792u,325.631n,55.216u,319.088n,22.426u,2.385p,8.1772047391e-11,9402935.01048,0.000348746304254
3.262u,182.147n,20.772u,315.171n,22.921u,201.458n,322.400u,251.311n,26.600u,501.562n,10.192u,1.487p,1.06122729944e-10,6854068.59449,5.02759427078e-05
12.384u,183.335n,14.144u,351.135n,12.147u,224.406n,65.325u,406.735n,85.006u,317.928n,23.919u,0.597p,6.3558485205e-11,40065326.6332,0.000187249537465
19.132u,221.817n,6.872u,363.956n,6.733u,206.660n,40.803u,268.811n,14.182u,424.968n,21.678u,1.716p,2.5131541665e-11,12632867.1329,0.000150405269934
9.266u,505.265n,21.182u,181.690n,8.986u,477.117n,222.609u,199.073n,137.952u,344.949n,18.229u,2.001p,1.04719562337e-10,9109945.02749,0.000274721852074
8.201u,401.886n,9.912u,353.678n,2.309u,404.209n,308.613u,462.645n,57.749u,344.971n,14.911u,1.481p,1.70434833667e-10,10068197.1641,0.000469842763327
13.166u,490.439n,8.616u,357.200n,4.549u,285.042n,201.774u,368.255n,107.408u,306.404n,19.043u,2.978p,1.18045936334e-10,6394560.10745,0.000571607301464
21.449u,304.785n,17.353u,447.282n,18.058u,364.854n,129.510u,464.336n,29.273u,256.907n,14.895u,2.641p,8.8544145514e-11,5639909.12533,0.000155035933433
23.055u,508.300n,4.825u,394.634n,8.808u,232.198n,102.406u,401.250n,121.353u,217.179n,16.364u,1.645p,8.3113896221e-11,9947720.36474,0.0004282660222
10.100u,295.710n,19.392u,482.991n,2.736u,241.259n,57.007u,472.539n,129.854u,267.061n,22.181u,1.251p,7.4629886963e-11,17730615.5076,0.000159716377484
15.208u,197.367n,18.194u,458.119n,14.266u,513.756n,165.272u,340.416n,108.750u,405.736n,15.019u,0.709p,1.1905084067e-10,21183356.8406,0.000238480932001
23.036u,339.183n,3.784u,439.574n,5.314u,362.877n,131.564u,485.466n,66.334u,264.604n,13.491u,1.103p,None,None,None
21.954u,395.467n,25.291u,444.154n,21.852u,250.851n,99.905u,401.103n,130.391u,221.844n,21.778u,2.180p,9.4395433603e-11,9989908.25688,0.000179634602633
3.527u,443.908n,6.624u,246.210n,19.945u,456.350n,110.679u,294.541n,109.163u,256.602n,10.981u,0.818p,7.2909406771e-11,13424205.379,0.000226066173235
21.100u,450.455n,9.607u,246.996n,20.425u,342.246n,34.946u,253.560n,31.550u,210.837n,11.472u,1.654p,3.4380680732e-11,6935912.93833,8.16784160532e-05
22.400u,266.726n,14.259u,359.317n,4.638u,399.645n,67.178u,351.315n,144.893u,335.246n,23.674u,0.555p,8.5127154761e-11,42655855.8559,0.000209251010918
7.120u,489.754n,26.038u,235.132n,2.521u,476.092n,52.576u,366.322n,60.479u,451.518n,22.690u,2.474p,5.7376746022e-11,9171382.37672,0.000126120971663
8.771u,275.066n,11.472u,450.860n,18.848u,459.373n,258.704u,339.349n,131.276u,454.582n,28.213u,0.611p,1.63709782438e-10,46175122.7496,0.000755795265467
