W1,L1,W3,L3,W5,L5,W6,L6,W7,L7,IB,CC,Gain,Gain_Phase,UGBW,PM_db,PM_PH
11.000u,272.362n,26.569u,250.338n,8.258u,300.911n,162.023u,486.189n,80.982u,357.296n,26.147u,2.828p,75.6307589758,92.6196858239,60527.1029062,38.9709289093,0.0
21.331u,471.625n,11.346u,273.593n,8.875u,282.615n,319.797u,355.474n,133.979u,341.457n,19.780u,2.159p,83.9083917608,90.6900379965,156796.362485,38.9232700651,0.0
17.691u,509.273n,17.917u,421.318n,21.249u,236.684n,217.751u,378.321n,75.879u,239.966n,25.933u,2.860p,73.2435090121,90.4414851113,45939.1554117,38.9976472493,0.0
10.767u,503.892n,21.988u,262.665n,14.757u,488.099n,347.792u,251.644n,73.060u,422.595n,13.760u,2.527p,72.6716146338,91.4603833966,43027.9315031,39.02162235,0.0
2.613u,187.211n,4.754u,363.048n,18.230u,412.332n,187.622u,357.286n,59.814u,400.758n,18.187u,0.628p,70.0394873017,92.6463887075,31803.0765002,39.0420599993,0.0
5.210u,256.804n,8.865u,246.957n,4.849u,490.608n,271.995u,480.593n,107.816u,406.068n,11.098u,2.652p,71.8307368995,90.7229726787,39046.8913293,39.0354446073,0.0
10.754u,428.803n,26.373u,346.651n,2.408u,459.357n,281.270u,181.698n,45.750u,492.432n,17.049u,2.357p,80.266892964,90.3841757261,103121.133166,38.9915226905,0.0
10.041u,294.093n,18.807u,300.236n,20.058u,505.975n,305.210u,271.744n,90.110u,315.652n,25.150u,2.314p,80.0264756093,90.349755843,100293.37883,38.9700822348,0.0
3.189u,478.795n,25.932u,396.872n,19.260u,340.072n,114.982u,352.125n,131.447u,474.976n,14.608u,0.649p,81.1262712831,91.3348594022,113721.965329,38.774833718,0.0
7.930u,497.775n,12.412u,240.489n,15.865u,352.637n,58.806u,406.324n,129.324u,201.907n,20.125u,2.328p,63.4434228394,90.6774598528,14867.5427938,39.0645437588,0.0
17.057u,371.689n,22.699u,474.664n,23.635u,377.465n,153.432u,295.197n,87.855u,384.010n,11.582u,0.752p,85.4158016562,91.3914722184,185651.703129,38.4933666612,0.0
8.060u,310.480n,20.829u,221.243n,21.697u,341.341n,331.178u,435.537n,89.153u,398.940n,25.074u,1.350p,84.6780159718,95.4905704221,171844.483966,38.7308566492,0.0
7.030u,317.060n,17.133u,194.537n,23.097u,365.219n,72.108u,374.056n,25.370u,378.745n,19.813u,1.943p,82.0067748602,90.5890038039,123792.152331,37.949589037,0.0
21.584u,299.865n,24.787u,356.240n,15.526u,275.051n,337.360u,434.635n,42.713u,351.162n,28.038u,0.681p,86.1625915662,92.0984971515,203111.802075,38.7485040407,0.0
18.038u,352.902n,27.172u,506.238n,2.821u,343.680n,309.972u,429.940n,116.617u,329.036n,15.932u,2.736p,75.0226428651,90.4140885176,56383.7718555,39.0393503178,0.0
22.624u,427.154n,26.486u,390.545n,13.597u,197.540n,244.725u,332.692n,53.883u,184.338n,20.136u,2.654p,79.4222844099,90.3204541835,93520.5803341,38.8925411545,0.0
16.382u,194.574n,19.326u,475.245n,20.484u,220.511n,244.630u,405.775n,107.499u,233.651n,11.800u,0.676p,88.9745835649,92.737617244,279339.510942,38.3815443825,0.0
10.390u,245.457n,19.156u,395.633n,18.007u,513.108n,308.174u,213.795n,124.268u,396.548n,25.123u,1.178p,83.1952123572,93.9385775737,144783.659237,38.9723658138,0.0
8.784u,309.772n,16.521u,455.644n,18.329u,492.647n,203.985u,484.781n,140.466u,206.152n,20.664u,0.999p,81.5489795584,96.2819150264,120223.758981,38.9788301159,0.0
14.187u,471.977n,6.313u,500.785n,20.761u,289.353n,86.879u,255.441n,27.082u,405.589n,23.994u,2.587p,54.2982015389,91.353369506,5189.05903474,39.0701697906,0.0
4.217u,376.994n,5.621u,344.052n,8.683u,364.053n,265.064u,410.815n,22.211u,337.266n,18.602u,1.465p,60.143523563,91.1543125999,10169.7194722,39.0711574116,0.0
23.758u,315.651n,15.630u,377.504n,7.771u,200.299n,121.951u,491.013n,48.839u,207.856n,18.294u,0.650p,92.2539944694,91.3904255416,404056.688912,38.0651587208,0.0
20.134u,519.658n,13.667u,180.567n,16.186u,358.265n,234.016u,478.878n,107.440u,430.844n,11.782u,2.144p,78.945291882,90.3213459404,88505.2520182,38.8516360528,0.0
20.968u,331.501n,18.289u,408.073n,14.740u,414.751n,215.855u,384.025n,30.594u,243.798n,29.052u,1.468p,82.9762753376,91.5456668283,140794.705345,38.8291349677,0.0
16.358u,458.127n,16.986u,390.677n,19.111u,306.046n,123.932u,308.775n,127.234u,463.764n,15.430u,2.468p,80.4774063346,90.6245283136,105466.31845,38.7244446455,0.0
10.111u,285.990n,21.051u,210.063n,6.667u,388.976n,99.353u,233.796n,75.469u,215.973n,22.835u,2.242p,73.8510146391,90.5930108664,49271.9009482,39.0289241131,0.0
3.490u,279.333n,3.091u,190.899n,6.622u,280.123n,254.557u,393.085n,50.606u,273.466n,29.770u,1.781p,70.6025706136,90.9134294515,33898.5752846,39.0523956126,0.0
19.656u,393.271n,21.036u,517.874n,22.233u,182.075n,50.956u,421.283n,93.880u,421.993n,25.015u,2.454p,81.9353937744,90.2899371395,124201.932637,38.41830222,0.0
8.767u,484.444n,27.849u,197.750n,4.889u,449.129n,50.542u,335.373n,71.552u,255.715n,20.179u,2.625p,59.6923574618,105.524051475,10017.8248227,39.0696027652,0.0
4.857u,418.366n,17.832u,328.483n,5.946u,375.034n,98.945u,272.263n,69.198u,398.672n,22.368u,2.654p,72.5345464256,90.8038569183,42343.4965,39.0117530111,0.0
