W1,L1,W3,L3,W5,L5,W6,L6,W7,L7,IB,CC,Gain,Gain_Phase,UGBW,PM_db,PM_PH
8.123u,472.058n,5.388u,196.286n,14.330u,211.837n,218.651u,383.406n,110.874u,468.423n,28.760u,2.008p,69.3122549284,93.593908884,29275.8549201,39.0416897322,0.0
18.289u,230.237n,17.752u,395.646n,13.645u,221.129n,143.121u,337.342n,38.795u,377.603n,21.555u,1.577p,77.2370507464,93.7927168822,72876.492971,38.8744009009,0.0
20.729u,211.644n,13.784u,320.980n,6.524u,454.590n,130.892u,401.191n,111.470u,516.418n,11.781u,2.041p,79.8805730212,92.7418498752,98704.0476318,38.8865391926,0.0
11.553u,237.954n,20.591u,494.526n,15.863u,427.409n,293.127u,278.451n,15.767u,478.049n,28.118u,0.829p,67.0834870896,93.7169094132,22653.9350101,39.0599078468,0.0
14.981u,387.662n,22.596u,275.345n,4.343u,309.204n,87.141u,423.634n,34.650u,406.411n,22.170u,2.342p,77.9043522163,92.8615137635,78589.7866558,38.8151514358,0.0
15.132u,323.171n,17.397u,197.708n,10.640u,332.016n,195.139u,385.285n,100.036u,257.474n,25.301u,2.285p,78.4180938976,92.6474098311,83432.233852,38.9860117757,0.0
10.692u,272.829n,11.618u,335.481n,10.424u,384.229n,265.568u,341.662n,107.551u,400.827n,24.352u,2.213p,82.2957573732,90.283837261,130220.590541,38.9229631007,0.0
4.293u,314.748n,13.589u,361.014n,21.705u,302.789n,168.848u,447.861n,19.391u,490.589n,16.402u,0.823p,63.2955438004,94.320386522,14657.2952721,39.0325832494,0.0
11.912u,265.714n,17.296u,180.699n,3.139u,383.991n,52.389u,393.801n,108.541u,422.120n,25.991u,1.926p,67.7581907455,97.0522346107,24616.561256,39.0528424269,0.0
12.046u,315.895n,25.450u,355.227n,5.683u,212.330n,188.555u,341.041n,80.725u,267.903n,18.683u,1.121p,84.4825555067,91.5193078374,167481.634124,38.8487906926,0.0
3.481u,370.726n,18.236u,215.888n,10.079u,196.922n,209.673u,415.149n,146.765u,297.472n,17.948u,1.313p,75.0933858426,92.3379802003,56891.4233659,39.0053148876,0.0
15.135u,180.456n,10.215u,260.049n,17.130u,229.050n,203.408u,493.471n,132.728u,401.933n,13.737u,0.772p,91.5170049246,91.8141657628,368584.14688,37.8253691997,0.0
22.250u,507.181n,17.050u,425.835n,15.790u,274.861n,350.609u,353.570n,65.213u,414.468n,21.488u,0.487p,80.4481835056,93.30218263,105460.470916,38.9666559256,0.0
14.547u,321.233n,3.765u,207.872n,8.965u,416.602n,87.627u,442.889n,73.825u,333.743n,14.463u,0.968p,71.5944181814,168.394545738,188365.077524,38.6532650801,0.0
10.885u,354.447n,4.306u,273.808n,6.746u,300.485n,132.745u,519.908n,41.021u,405.255n,25.728u,2.540p,74.402145009,90.4784815134,52482.2772001,38.9494633115,0.0
13.128u,455.060n,7.356u,222.639n,13.709u,365.138n,103.160u,389.093n,56.654u,511.831n,28.196u,2.108p,79.406998021,90.9558281296,93281.466331,38.7707903322,0.0
13.711u,201.839n,14.604u,458.676n,15.626u,419.504n,118.052u,426.688n,70.707u,406.620n,15.260u,1.219p,89.8021781744,90.2658865067,304075.695762,38.0023658593,0.0
13.424u,269.019n,5.585u,237.051n,17.735u,357.141n,122.131u,223.967n,54.270u,444.659n,26.616u,2.915p,66.0181439919,93.0367911785,20023.6201177,39.0511400912,0.0
8.093u,296.558n,19.546u,388.449n,6.608u,516.875n,79.110u,326.471n,110.617u,218.617n,17.787u,1.826p,68.1750452629,95.0071743628,25728.7677522,39.0616987112,0.0
17.872u,513.550n,3.463u,476.892n,22.898u,223.019n,319.210u,306.633n,61.868u,214.870n,24.919u,1.364p,55.6600281738,92.320718784,6073.0841759,39.0810832514,0.0
8.635u,280.768n,22.255u,272.994n,21.904u,501.119n,210.457u,180.495n,91.510u,416.176n,29.853u,0.471p,92.1366690087,104.139798348,415660.237659,38.6108580138,0.0
10.819u,392.689n,10.085u,202.598n,5.546u,244.338n,219.163u,456.294n,29.354u,184.855n,29.106u,2.166p,82.5620044535,90.2342676071,134228.708848,38.8713352927,0.0
10.053u,245.985n,22.918u,257.089n,11.151u,220.036n,309.748u,187.601n,66.626u,449.288n,17.722u,0.890p,,,,,
15.586u,471.037n,23.126u,440.936n,22.407u,319.954n,306.245u,261.142n,105.251u,215.450n,13.017u,1.294p,78.8825447311,94.2742580394,88165.1215308,38.9629118836,0.0
4.920u,374.782n,26.245u,498.840n,20.385u,324.777n,46.568u,188.158n,82.137u,509.762n,18.509u,0.847p,86.4637580187,92.0028993378,207970.460135,38.1496917543,0.0
23.539u,394.043n,3.253u,205.796n,23.295u,398.634n,36.687u,466.800n,148.750u,270.734n,27.703u,1.577p,76.1016211829,109.861999805,67871.3604288,38.9828983451,0.0
14.324u,496.573n,4.891u,471.525n,2.464u,440.939n,245.197u,513.533n,81.839u,481.668n,16.295u,2.470p,79.4054639874,90.1864265253,93373.1986842,38.990766825,0.0
15.152u,189.809n,21.471u,498.700n,13.201u,198.120n,172.236u,501.203n,148.475u,510.176n,18.752u,2.586p,84.4032700016,90.5241246999,165510.074942,38.6167887464,0.0
9.275u,239.312n,5.857u,368.106n,20.972u,251.527n,167.350u,341.452n,96.368u,224.058n,23.438u,1.098p,77.1315182534,93.7143817065,72022.8633949,38.9846790848,0.0
16.011u,425.445n,5.330u,343.323n,20.732u,262.346n,82.891u,474.615n,14.599u,413.197n,25.115u,2.436p,57.2492101738,91.4461313275,7288.53958856,39.0441531366,0.0
16.971u,273.650n,13.121u,243.961n,13.273u,423.685n,82.181u,381.808n,103.328u,310.885n,16.070u,2.733p,73.2477930073,90.7952320089,45964.5382939,38.9912457092,0.0
13.666u,396.140n,19.102u,346.868n,14.358u,221.431n,201.598u,281.642n,131.340u,252.218n,19.436u,2.109p,81.8400128465,90.2533867038,123554.557367,38.9189502158,0.0
9.830u,339.280n,18.875u,429.518n,23.938u,383.563n,129.442u,331.519n,40.206u,439.073n,29.053u,0.937p,78.0363812336,94.8927361198,80017.1356329,38.8766295844,0.0
18.534u,442.838n,16.462u,245.710n,10.639u,365.141n,136.868u,366.168n,148.283u,291.516n,10.442u,0.875p,79.3246604241,91.5262668087,92537.1798149,38.9469950646,0.0
21.599u,344.711n,22.240u,313.386n,12.486u,352.043n,214.539u,493.292n,22.993u,400.554n,22.703u,1.908p,78.8898766952,92.8410567442,88011.4429561,38.7851467642,0.0
19.322u,377.593n,12.985u,374.210n,13.390u,342.469n,103.685u,211.506n,18.020u,440.940n,18.083u,0.860p,71.7242230863,91.9578714685,38589.3347436,38.9901839553,0.0
10.491u,472.701n,18.613u,277.411n,14.377u,451.833n,151.406u,468.694n,96.657u,360.597n,25.152u,2.905p,73.5225852095,91.1184804308,47448.7833052,39.0027061274,0.0
19.294u,205.515n,21.869u,501.383n,3.390u,361.920n,97.245u,281.461n,92.644u,295.087n,13.641u,1.732p,78.2338093804,90.7618307724,81602.3251772,38.9876124477,0.0
18.528u,418.874n,21.015u,182.452n,20.592u,465.064n,65.677u,413.784n,87.376u,331.994n,25.272u,2.129p,73.8150927372,90.6705812392,49058.0649552,38.9605717901,0.0
18.495u,422.299n,5.384u,340.432n,7.187u,224.187n,48.834u,509.997n,101.309u,444.361n,20.616u,1.176p,82.2934811154,91.4250140567,130043.415863,38.736594438,0.0
6.740u,455.222n,5.334u,199.084n,15.725u,226.082n,159.272u,307.395n,62.556u,445.066n,10.964u,0.781p,68.1093526215,97.9024743252,25680.0174269,39.0204722726,0.0
14.490u,303.160n,23.945u,206.982n,3.892u,278.092n,176.436u,452.002n,136.516u,387.495n,20.522u,2.751p,71.0289256218,93.7112390423,35677.1411337,39.0431244723,0.0
8.611u,286.479n,16.044u,203.075n,22.386u,241.179n,103.412u,213.016n,36.097u,286.072n,13.123u,1.808p,71.9559541862,90.7570110563,39600.9721671,38.9167150067,0.0
4.248u,440.371n,7.684u,319.217n,21.785u,298.317n,49.596u,430.894n,149.355u,182.122n,27.234u,1.147p,70.3158720428,91.3304308953,32806.367267,39.048483475,0.0
16.707u,311.516n,8.281u,488.350n,2.306u,408.385n,193.231u,483.366n,147.867u,490.049n,28.942u,0.792p,88.5798973787,93.1419585593,268841.105212,38.9284572174,0.0
18.676u,445.303n,11.721u,329.218n,10.829u,286.710n,194.916u,270.918n,86.113u,479.425n,16.588u,1.718p,75.485827218,92.89466987,59544.3618057,38.9842045891,0.0
6.665u,468.388n,8.383u,247.864n,12.407u,207.127n,81.912u,218.512n,115.810u,387.256n,17.221u,0.440p,90.7752057765,94.8561667099,341582.226481,38.0361465628,0.0
17.589u,237.646n,13.050u,266.259n,12.825u,339.238n,168.079u,340.839n,95.478u,356.872n,14.066u,0.916p,90.6593018587,90.6372390456,338658.624428,38.3731940717,0.0
14.723u,322.828n,18.400u,241.293n,14.725u,255.154n,276.046u,443.873n,23.426u,208.141n,23.974u,0.450p,88.9603498797,105.013911824,288531.076083,38.4089093922,0.0
22.043u,334.008n,7.250u,493.686n,8.991u,445.441n,357.499u,387.137n,142.757u,508.528n,26.468u,0.787p,85.6369880327,91.7299336887,191417.513959,38.9603180867,0.0
22.257u,510.825n,4.855u,409.924n,18.010u,236.142n,157.999u,427.440n,43.583u,205.690n,27.839u,1.249p,46.8631671371,176.591286241,37065.1914228,39.0522346592,0.0
15.928u,333.147n,25.433u,481.973n,6.371u,275.290n,94.627u,519.166n,125.676u,339.566n,24.317u,1.044p,79.1389914678,97.0045131481,91225.5177619,38.9657339427,0.0
5.719u,357.437n,25.365u,436.231n,12.323u,482.183n,214.323u,367.760n,112.505u,422.460n,11.082u,1.062p,80.3914923451,93.8923210812,104793.481301,38.891449991,0.0
4.862u,373.223n,17.399u,408.088n,18.888u,212.996n,138.816u,240.342n,28.261u,192.533n,20.408u,1.654p,65.2695854881,90.9586472636,18347.7990914,39.044628771,0.0
19.391u,442.046n,8.959u,296.563n,14.527u,253.374n,223.388u,183.026n,34.711u,252.959n,13.910u,1.872p,61.1961378696,90.915007791,11477.9586235,39.0708507291,0.0
6.502u,376.570n,8.044u,446.572n,2.333u,266.466n,152.095u,330.199n,63.001u,344.231n,14.110u,2.335p,76.0340684863,90.292663758,63342.5415849,39.0013014764,0.0
21.615u,259.153n,18.929u,201.739n,3.583u,238.942n,269.496u,301.581n,128.072u,287.460n,20.043u,1.771p,81.9189096754,96.8434289098,125606.942274,38.9899042387,0.0
13.567u,237.541n,23.186u,395.550n,16.808u,401.878n,329.028u,315.765n,148.960u,469.565n,21.123u,1.332p,87.198620275,90.5247217663,228765.356762,38.7898974628,0.0
22.135u,422.567n,4.159u,426.576n,17.713u,443.901n,205.315u,359.251n,140.862u,497.880n,15.734u,0.584p,79.1060697493,94.470861536,90492.4621027,38.9831200669,0.0
16.449u,247.659n,17.902u,212.857n,3.808u,308.916n,323.038u,472.193n,63.237u,188.099n,25.865u,0.937p,87.4364633725,91.2202708245,235355.285743,38.898229966,0.0
8.248u,451.039n,13.657u,250.844n,2.435u,381.860n,240.502u,463.787n,114.730u,327.419n,13.939u,1.175p,74.433372699,92.3350523209,52729.5314183,39.0403926838,0.0
10.361u,462.931n,21.273u,328.458n,17.247u,509.349n,184.600u,371.422n,122.344u,283.696n,15.089u,2.400p,73.0754347612,91.1842107128,45070.6016618,39.0207987636,0.0
7.517u,440.627n,9.572u,215.775n,3.179u,425.275n,111.366u,190.885n,48.990u,292.910n,18.082u,1.125p,81.6840585877,91.7145301305,121427.736321,38.9425001057,0.0
14.914u,448.962n,5.688u,466.016n,17.608u,287.094n,311.335u,506.721n,113.669u,309.556n,28.572u,0.483p,81.1550703508,97.8948354793,115308.087541,38.9854484741,0.0
20.732u,404.733n,14.548u,280.992n,16.445u,204.930n,208.336u,430.234n,14.978u,495.269n,19.703u,2.048p,59.1552153892,92.8018958158,9084.68808613,39.0496913777,0.0
4.247u,333.498n,14.126u,344.569n,3.845u,410.311n,191.400u,370.628n,92.621u,227.386n,13.899u,2.424p,67.8700192362,90.5146303154,24749.6042811,39.0630442957,0.0
7.292u,409.417n,18.993u,420.028n,23.680u,425.168n,169.950u,382.662n,69.466u,380.312n,26.668u,1.465p,79.0562670829,90.7174267399,89659.3910422,38.8710739959,0.0
3.177u,282.114n,19.672u,266.702n,14.879u,314.971n,260.957u,301.734n,49.644u,379.515n,29.186u,0.720p,79.8257895964,91.8407831262,98039.7421823,38.9400180287,0.0
23.729u,205.292n,14.322u,368.484n,4.467u,222.300n,97.647u,192.390n,32.727u,457.807n,25.584u,2.607p,79.7002693656,90.4718186087,96572.0797788,38.8858889823,0.0
14.830u,493.276n,21.911u,197.896n,15.721u,411.140n,41.503u,337.103n,80.577u,409.646n,27.701u,2.194p,72.0951699468,95.4462715013,40428.6904711,38.9628330647,0.0
10.778u,403.479n,10.876u,384.233n,2.121u,363.387n,167.291u,475.780n,70.301u,376.303n,13.513u,2.649p,72.2704182047,91.1889997677,41081.6507923,39.0283697575,0.0
23.754u,430.752n,14.758u,370.078n,10.591u,211.622n,292.323u,182.151n,65.441u,183.459n,19.950u,1.570p,75.4020424053,94.3845626859,59073.2478531,39.0411544514,0.0
23.836u,487.692n,15.303u,282.126n,9.425u,341.958n,197.071u,210.859n,141.874u,225.883n,16.636u,0.810p,87.7559944686,91.155648833,244175.78742,38.9013889539,0.0
16.013u,255.976n,15.905u,518.099n,11.856u,478.875n,266.072u,332.983n,114.889u,396.136n,29.702u,2.172p,85.7183785293,91.4031289273,193128.702686,38.8857353019,0.0
14.231u,475.443n,22.676u,507.039n,8.671u,496.332n,184.847u,238.519n,14.919u,423.854n,27.228u,1.533p,70.2742127676,96.6508441627,32861.097694,39.0374834697,0.0
3.983u,183.463n,27.960u,500.463n,23.672u,402.705n,231.497u,196.191n,31.674u,380.621n,23.849u,2.954p,57.6331398583,90.5747405702,7615.71915306,39.0739782562,0.0
18.775u,508.963n,6.956u,290.667n,4.521u,255.107n,100.715u,296.731n,17.374u,493.006n,24.183u,1.419p,73.1388515265,93.1845883088,45454.9249993,38.9710191958,0.0
12.237u,333.638n,10.110u,190.854n,23.036u,283.304n,285.386u,204.472n,124.315u,456.977n,25.825u,0.571p,80.3689549553,93.8390764313,104565.290958,38.9976117794,0.0
2.281u,281.048n,25.912u,414.728n,15.751u,316.046n,347.896u,385.427n,86.622u,324.713n,24.003u,1.460p,76.4990696924,90.6361145003,66830.8090757,38.9887889411,0.0
5.396u,450.422n,11.016u,426.086n,13.069u,183.479n,104.984u,334.435n,51.088u,462.577n,26.249u,0.930p,71.4018992495,92.4141432125,37190.4211356,38.9868275896,0.0
12.899u,500.445n,7.938u,449.378n,20.297u,492.822n,165.479u,460.687n,47.233u,244.849n,13.291u,2.961p,67.4708489605,90.4520854925,23636.5670341,39.01912525,0.0
17.251u,396.572n,11.770u,469.755n,5.783u,335.401n,175.527u,355.584n,49.432u,320.247n,22.410u,2.918p,80.5315599697,90.6046127437,106275.600114,38.8987073477,0.0
16.982u,423.183n,19.829u,181.994n,19.795u,196.635n,49.309u,503.536n,20.990u,193.810n,13.920u,0.905p,84.3923273963,91.1248574962,159488.19929,37.3530654593,0.0
19.589u,219.354n,25.654u,234.748n,13.020u,200.065n,189.027u,470.626n,60.380u,452.528n,20.991u,1.634p,89.9763039938,90.1833538042,308880.62349,37.855533635,0.0
20.741u,301.909n,6.647u,229.584n,5.596u,508.956n,173.659u,486.081n,90.395u,301.822n,26.861u,0.782p,89.2204983441,95.7528098108,290298.034937,38.8328554316,0.0
14.531u,297.245n,14.372u,234.354n,11.857u,187.288n,258.864u,224.189n,37.778u,205.471n,20.626u,0.742p,80.1710066293,96.4274086447,102615.441898,38.9597528159,0.0
9.192u,355.704n,17.886u,436.056n,8.918u,267.015n,59.261u,481.182n,55.068u,190.427n,29.131u,2.393p,71.4863078636,92.3909282616,37559.659136,39.0132079359,0.0
15.279u,419.588n,26.036u,470.824n,11.124u,354.313n,277.637u,217.511n,148.488u,296.872n,21.083u,1.922p,83.4083959476,90.3475245528,148032.473111,38.9761097609,0.0
11.710u,311.986n,23.324u,255.229n,11.502u,260.919n,172.362u,476.719n,148.147u,371.931n,10.695u,0.945p,80.1027630506,91.2951934027,101154.446747,38.8631771526,0.0
9.703u,210.313n,18.975u,247.359n,20.955u,502.220n,351.984u,475.087n,87.569u,243.923n,11.660u,2.085p,79.8273706096,90.3352430126,97996.7259839,38.9146203995,0.0
2.527u,320.554n,17.883u,342.768n,23.439u,462.106n,323.955u,254.633n,18.188u,470.424n,15.085u,2.257p,46.7832565029,90.7835981399,2183.83669192,39.0809530317,0.0
21.502u,401.342n,25.593u,289.652n,18.706u,492.687n,302.292u,477.578n,115.238u,356.115n,20.859u,2.548p,80.024016674,98.9542802552,101494.31582,38.9378590062,0.0
3.631u,281.104n,23.222u,264.586n,18.191u,236.612n,85.239u,221.054n,142.692u,235.246n,26.251u,1.986p,72.5358272774,104.413259807,43719.4545274,39.0284500032,0.0
2.836u,315.879n,7.678u,379.402n,13.788u,214.084n,352.052u,354.201n,63.232u,494.207n,12.181u,1.974p,49.8628280046,91.9211113632,3114.8512194,39.0808073249,0.0
13.750u,371.601n,5.910u,246.962n,15.845u,438.384n,322.008u,481.729n,94.845u,277.037n,14.754u,0.886p,84.1924776339,94.0717749964,162300.299344,38.8363614136,0.0
3.474u,411.011n,20.209u,216.382n,3.517u,517.504n,142.903u,335.862n,88.448u,481.746n,16.057u,0.814p,76.1713349262,91.5402581665,64371.4323878,38.9925207473,0.0
15.096u,477.610n,4.187u,210.786n,10.529u,374.720n,276.037u,303.101n,107.045u,363.427n,24.566u,2.553p,72.2362763266,90.5261772996,40912.8576347,39.0503708025,0.0
19.759u,333.350n,26.752u,183.673n,16.066u,413.966n,316.270u,412.490n,88.382u,183.868n,20.225u,0.661p,89.3662467142,95.6516083163,294930.392032,38.7560713974,0.0
16.317u,422.824n,20.149u,253.307n,10.901u,242.771n,172.718u,215.923n,36.428u,215.125n,16.379u,0.885p,86.1143671205,91.0339557365,201617.42287,38.6351796737,0.0
2.207u,305.210n,18.658u,350.965n,10.000u,307.903n,343.206u,477.296n,24.380u,379.102n,18.762u,0.974p,68.4761010787,101.01899504,27033.6655074,39.0329182841,0.0
5.111u,208.245n,23.233u,210.115n,14.004u,293.708n,173.145u,216.494n,85.984u,207.242n,13.402u,2.794p,73.9502891362,91.1546582342,49843.0975153,39.0056334482,0.0
17.842u,334.143n,12.369u,513.124n,13.373u,341.533n,323.025u,304.547n,34.318u,390.968n,22.075u,1.702p,63.5299723528,91.8882969576,15023.9504924,39.0697198557,0.0
3.913u,437.789n,6.389u,298.209n,9.991u,458.414n,37.295u,203.953n,104.244u,396.987n,28.406u,1.971p,72.8566516766,91.7048001959,43958.8440729,39.0195035255,0.0
16.620u,495.290n,9.581u,210.296n,10.986u,480.760n,222.851u,380.495n,33.004u,202.303n,12.157u,1.131p,86.6987623326,90.2411699931,215489.53969,38.5955640198,0.0
17.800u,413.837n,3.943u,428.079n,7.823u,411.631n,307.145u,345.835n,57.582u,480.353n,21.827u,2.127p,62.8488106768,91.2102454593,13886.1190013,39.0745597177,0.0
14.628u,343.691n,12.777u,358.729n,15.161u,286.453n,302.129u,350.845n,74.153u,310.682n,17.731u,1.311p,75.856506499,92.4172596443,62117.9930818,39.0000698271,0.0
3.336u,331.139n,18.224u,195.409n,3.159u,198.895n,123.618u,349.631n,26.380u,488.053n,29.953u,2.890p,76.0462596539,91.0504586802,63414.650865,38.8934470198,0.0
3.368u,409.560n,17.040u,453.396n,23.472u,423.723n,321.252u,211.838n,32.125u,375.098n,28.091u,1.104p,57.6685201098,93.3230600508,7659.71813639,39.0794475117,0.0
23.889u,377.569n,19.262u,333.282n,2.891u,345.237n,273.970u,313.420n,73.760u,291.623n,25.991u,2.657p,81.0250636338,90.3310090266,112523.447505,39.0032814265,0.0
23.804u,224.423n,25.470u,450.757n,23.053u,205.342n,358.184u,235.962n,96.077u,256.753n,27.758u,1.889p,74.6830845748,93.895680004,54350.737923,39.039479946,0.0
17.037u,431.084n,25.731u,298.021n,20.835u,479.990n,265.979u,181.264n,20.568u,232.171n,29.178u,2.811p,66.8146778101,96.7383647285,22069.6637652,39.0606125318,0.0
23.867u,490.080n,25.622u,258.218n,18.163u,412.053n,234.503u,247.649n,15.218u,360.737n,25.036u,1.634p,70.1002522225,96.6775116191,32209.7240859,39.0241176236,0.0
6.609u,199.590n,4.842u,306.121n,11.545u,277.562n,218.878u,203.966n,131.142u,441.565n,16.956u,1.108p,70.60877734,91.5035155506,33931.0478524,39.0587706243,0.0
21.656u,251.133n,4.352u,389.087n,8.623u,271.255n,151.854u,410.344n,91.835u,233.731n,25.128u,1.506p,86.7956187229,91.5842656408,218423.375732,38.7641333902,0.0
18.935u,433.982n,26.953u,391.620n,5.793u,210.807n,39.860u,390.507n,17.235u,279.006n,10.020u,2.656p,74.5092045322,90.3625601768,52936.4858481,38.540839621,0.0
23.243u,519.495n,15.883u,251.897n,4.384u,513.934n,217.343u,457.426n,33.140u,253.643n,19.088u,2.607p,78.4017348364,90.6253168844,83175.4453901,38.9485117184,0.0
5.268u,353.902n,3.572u,480.471n,3.183u,339.897n,276.888u,187.956n,44.624u,503.622n,21.669u,2.309p,54.6787286928,90.7511061408,5420.37095318,39.082519804,0.0
22.687u,406.549n,8.373u,183.409n,17.511u,445.885n,239.057u,193.607n,130.884u,419.839n,20.829u,2.019p,78.6775505405,91.2557727859,85899.698431,38.999933025,0.0
22.022u,324.120n,20.733u,222.577n,3.621u,396.380n,216.192u,450.346n,99.537u,491.674n,26.774u,1.653p,82.2878701,98.6697922472,131600.361571,38.9347288006,0.0
11.952u,390.674n,3.762u,182.602n,11.588u,412.614n,114.811u,222.305n,119.659u,186.871n,25.001u,2.791p,76.9334232033,90.5634197305,70263.0332044,39.0342514059,0.0
22.929u,435.139n,7.650u,442.299n,17.351u,461.892n,226.975u,287.544n,90.929u,353.439n,21.507u,1.176p,56.4746992309,174.256648842,66596.9200421,39.0299348839,0.0
18.623u,281.818n,27.557u,490.574n,20.582u,213.997n,296.652u,430.270n,76.580u,450.616n,28.102u,0.446p,86.0779658274,110.495123248,214535.58145,38.7266298892,0.0
14.186u,399.658n,25.143u,402.878n,2.218u,219.598n,88.206u,436.598n,67.463u,305.807n,13.417u,2.814p,67.428471017,90.5885330468,23521.38819,39.0376995374,0.0
9.917u,459.243n,21.750u,303.533n,10.497u,180.115n,122.225u,254.345n,138.907u,329.755n,20.014u,0.798p,85.2584333976,97.6264589856,184617.470407,38.7943988677,0.0
2.312u,442.520n,27.246u,294.154n,11.616u,329.304n,41.946u,287.895n,82.884u,184.843n,19.727u,2.471p,57.4639944176,90.6459184927,7469.25058705,39.0717727092,0.0
16.486u,406.382n,4.205u,286.976n,22.266u,460.976n,325.448u,193.420n,37.961u,388.007n,12.523u,1.877p,49.6628174276,90.9542220637,3042.64607355,39.0820305964,0.0
12.566u,352.361n,14.304u,395.999n,9.151u,497.516n,347.312u,440.325n,54.304u,220.131n,21.887u,0.986p,90.0498396001,92.2225168401,317792.477986,38.7578850574,0.0
15.078u,398.639n,8.178u,352.783n,2.769u,278.748n,65.664u,356.068n,119.395u,440.560n,13.883u,0.637p,82.2816278008,92.4802870529,130111.286362,38.898427197,0.0
19.746u,446.122n,18.071u,452.776n,17.957u,356.545n,176.533u,252.167n,104.492u,188.119n,11.419u,1.831p,81.6099069199,90.6622443674,120315.571378,38.9066176454,0.0
3.273u,213.699n,5.307u,270.333n,2.736u,344.418n,337.234u,385.752n,39.018u,501.956n,11.282u,2.085p,67.0686236477,90.6547980491,22568.7169276,39.0561896117,0.0
19.360u,337.554n,16.097u,496.844n,20.469u,318.767n,44.716u,428.433n,131.348u,289.433n,20.033u,1.253p,78.0175196845,91.1545142106,79581.0527527,38.9181780695,0.0
22.911u,396.801n,16.827u,228.725n,19.206u,317.109n,139.071u,218.649n,95.591u,209.684n,25.052u,1.538p,86.161747558,93.2871340573,203424.694693,38.8284713733,0.0
22.123u,484.152n,8.423u,420.685n,6.029u,363.896n,223.008u,418.544n,136.976u,428.179n,21.666u,2.586p,81.1316541723,90.241312776,113909.652516,38.9750471819,0.0
3.625u,457.300n,9.453u,467.945n,10.887u,416.168n,183.557u,279.882n,62.924u,349.381n,19.919u,0.454p,79.5378452739,93.5973511785,94994.5710706,38.9686841982,0.0
4.366u,343.625n,16.443u,367.782n,18.778u,329.232n,335.062u,438.492n,114.800u,213.760n,24.586u,2.549p,77.8272575772,90.3331553559,77865.7576338,38.9974851197,0.0
14.253u,368.091n,12.070u,242.979n,7.931u,226.716n,75.812u,488.957n,95.050u,321.209n,24.093u,2.426p,73.2282389042,92.5118494524,45900.0416976,38.991829939,0.0
15.841u,385.901n,23.543u,228.015n,18.377u,473.681n,348.031u,276.551n,137.334u,183.454n,28.211u,2.499p,79.1546372178,92.1208698815,90792.0970323,39.031817901,0.0
6.324u,346.860n,19.614u,491.895n,8.637u,244.594n,170.873u,376.805n,17.562u,229.139n,27.948u,1.903p,71.1429658393,91.4405327232,36082.1913073,39.0041160845,0.0
18.372u,288.801n,17.099u,478.904n,23.725u,211.113n,175.138u,186.540n,28.247u,249.907n,18.551u,0.474p,72.0476206109,95.8970722962,40246.4810557,39.0330300122,0.0
20.049u,369.120n,25.392u,352.523n,11.304u,199.454n,215.259u,264.888n,38.444u,181.001n,21.520u,0.462p,92.6773191204,103.761169323,438946.200963,38.2772725473,0.0
8.439u,451.914n,24.674u,329.994n,19.123u,432.965n,85.377u,497.582n,56.814u,251.978n,24.056u,1.489p,76.0986085762,99.7907789654,64733.9958638,38.9104752349,0.0
15.083u,455.241n,22.671u,408.068n,4.864u,457.939n,36.818u,477.841n,55.651u,340.194n,20.675u,2.639p,65.2540155161,90.601759512,18313.0226377,39.0375160427,0.0
3.725u,426.778n,23.321u,316.485n,22.136u,437.714n,270.721u,460.070n,46.613u,479.709n,10.214u,2.106p,64.9900132818,95.7751429369,17853.1571205,39.0168288994,0.0
7.271u,437.909n,10.747u,508.108n,5.190u,285.284n,308.232u,320.467n,38.455u,499.763n,17.812u,0.922p,68.2702386784,93.6699803358,25969.0845748,39.0599418867,0.0
5.229u,437.385n,8.479u,411.854n,4.722u,222.250n,195.566u,339.444n,122.954u,351.279n,21.692u,1.359p,82.0756375745,90.331558567,126978.71071,38.9560901565,0.0
14.387u,499.299n,8.740u,318.028n,8.779u,260.559n,69.427u,426.979n,43.024u,300.065n,19.067u,2.343p,78.870295278,90.5252250011,87679.7515635,38.7572217157,0.0
13.344u,202.077n,22.095u,217.203n,14.315u,396.305n,310.560u,294.417n,113.919u,234.495n,16.433u,2.648p,79.5768122997,92.9885997836,95363.5634072,38.9855907206,0.0
19.005u,257.028n,12.220u,226.911n,23.726u,291.825n,164.826u,401.426n,41.819u,336.216n,16.750u,2.582p,72.8485281729,90.5469776489,43886.5874717,38.9174268552,0.0
12.227u,510.531n,6.594u,421.645n,20.312u,510.526n,186.184u,511.379n,30.162u,259.040n,12.887u,1.604p,66.4523196742,91.4861512885,21027.6693872,39.0294472955,0.0
6.800u,439.631n,3.484u,306.338n,2.441u,189.791n,348.114u,351.162n,90.606u,500.807n,17.578u,0.632p,76.3517007859,92.3733730951,65763.19552,39.0418480108,0.0
12.462u,301.404n,17.763u,337.258n,18.446u,225.832n,93.780u,487.987n,64.942u,391.799n,21.873u,1.639p,85.9833550345,91.2825492032,196402.962401,38.0778828838,0.0
11.407u,223.474n,7.466u,284.557n,20.029u,390.052n,171.885u,442.894n,86.806u,418.493n,22.391u,1.834p,78.6507211193,91.2669220735,85593.5644102,38.8868142317,0.0
9.824u,195.399n,7.033u,494.537n,5.147u,346.423n,169.233u,427.716n,47.981u,301.606n,10.962u,0.480p,91.1710222221,92.1077695012,358415.220041,38.2419306818,0.0
